material_id,rule_id,rule,ypred
m_00001a,r_00001,基础产品销售信息,True
m_00002a,r_00002,赔付 & 领取规则,True
m_00003a,r_00003,责任免除,True
m_00004a,r_00004,投保条款,False
m_00005a,r_00005,投保条款,False
m_00006a,r_00006,责任免除,True
m_00007a,r_00007,续保条款,False
m_00008a,r_00008,责任免除,False
m_00009a,r_00009,出险条款,True
m_00010a,r_00010,保障相关时间,True
m_00011a,r_00011,赔付 & 领取规则,False
m_00012a,r_00012,责任免除,True
m_00013a,r_00013,责任免除,False
m_00014a,r_00014,保障责任,True
m_00015a,r_00015,退保条款,False
m_00016a,r_00016,保障责任,False
m_00017a,r_00017,赔付 & 领取规则,True
m_00018a,r_00018,退保条款,True
m_00019a,r_00019,投保条款,True
m_00020a,r_00020,续保条款,True
m_00021a,r_00021,出险条款,True
m_00022a,r_00022,投保条款,True
m_00023a,r_00023,续保条款,True
m_00024a,r_00024,责任免除,True
m_00025a,r_00025,保障相关时间,True
m_00011a,r_00026,保障责任,False
m_00014a,r_00027,责任免除,True
m_00026a,r_00028,保障责任,True
m_00027a,r_00029,责任免除,True
m_00020a,r_00030,保障责任,True
m_00010a,r_00031,责任免除,True
m_00028a,r_00032,术语解释,True
m_00029a,r_00033,保障相关时间,True
m_00030a,r_00034,基础产品销售信息,True
m_00031a,r_00035,责任免除,True
m_00032a,r_00036,责任免除,True
m_00033a,r_00037,赔付 & 领取规则,True
m_00034a,r_00038,基础产品销售信息,False
m_00035a,r_00039,赔付 & 领取规则,True
m_00036a,r_00040,附加条款,False
m_00037a,r_00041,退保条款,True
m_00038a,r_00042,保障相关时间,True
m_00032a,r_00043,续保条款,True
m_00039a,r_00044,保障相关时间,True
m_00040a,r_00045,保障责任,True
m_00041a,r_00046,投保条款,True
m_00016a,r_00047,附加条款,True
m_00024a,r_00048,保障责任,True
m_00042a,r_00049,出险条款,True
m_00043a,r_00050,投保条款,True
m_00017a,r_00051,术语解释,True
m_00044a,r_00052,赔付 & 领取规则,False
m_00045a,r_00053,投保条款,True
m_00024a,r_00054,保障相关时间,True
m_00046a,r_00055,投保条款,True
m_00047a,r_00056,术语解释,True
m_00048a,r_00057,责任免除,False
m_00049a,r_00058,责任免除,False
m_00050a,r_00059,术语解释,True
m_00051a,r_00060,续保条款,True
m_00052a,r_00061,赔付 & 领取规则,True
m_00053a,r_00062,保障相关时间,True
m_00054a,r_00063,术语解释,True
m_00043a,r_00064,赔付 & 领取规则,True
m_00055a,r_00065,责任免除,True
m_00056a,r_00066,赔付 & 领取规则,True
m_00043a,r_00067,保障相关时间,True
m_00044a,r_00068,附加条款,True
m_00055a,r_00069,退保条款,False
m_00057a,r_00070,续保条款,True
m_00058a,r_00071,续保条款,True
m_00059a,r_00072,责任免除,True
m_00060a,r_00073,基础产品销售信息,False
m_00061a,r_00074,投保条款,False
m_00062a,r_00075,赔付 & 领取规则,True
m_00056a,r_00076,续保条款,True
m_00063a,r_00077,保障责任,True
m_00064a,r_00078,保障责任,True
m_00047a,r_00079,保障相关时间,True
m_00065a,r_00080,基础产品销售信息,False
m_00066a,r_00081,出险条款,True
m_00067a,r_00082,投保条款,False
m_00068a,r_00083,赔付 & 领取规则,False
m_00069a,r_00084,保障责任,False
m_00061a,r_00085,赔付 & 领取规则,True
m_00070a,r_00086,赔付 & 领取规则,True
m_00071a,r_00087,术语解释,True
m_00072a,r_00088,保障相关时间,True
m_00073a,r_00089,保障责任,True
m_00036a,r_00090,赔付 & 领取规则,False
m_00074a,r_00091,附加条款,True
m_00036a,r_00092,投保条款,False
m_00075a,r_00093,投保条款,False
m_00076a,r_00094,保障相关时间,True
m_00077a,r_00095,出险条款,True
m_00078a,r_00096,投保条款,False
m_00079a,r_00097,赔付 & 领取规则,False
m_00080a,r_00098,投保条款,True
m_00081a,r_00099,附加条款,True
m_00039a,r_00100,赔付 & 领取规则,True
m_00082a,r_00101,投保条款,True
m_00083a,r_00102,投保条款,True
m_00084a,r_00103,保障相关时间,False
m_00075a,r_00104,保障相关时间,True
m_00085a,r_00105,赔付 & 领取规则,True
m_00013a,r_00106,续保条款,True
m_00055a,r_00107,保障责任,True
m_00086a,r_00108,赔付 & 领取规则,True
m_00087a,r_00109,投保条款,True
m_00088a,r_00110,赔付 & 领取规则,True
m_00089a,r_00111,附加条款,True
m_00005a,r_00112,保障相关时间,True
m_00017a,r_00113,保障相关时间,True
m_00090a,r_00114,附加条款,False
m_00091a,r_00115,保障责任,True
m_00036a,r_00116,责任免除,False
m_00092a,r_00117,赔付 & 领取规则,False
m_00093a,r_00118,投保条款,True
m_00034a,r_00119,投保条款,False
m_00094a,r_00120,责任免除,False
m_00095a,r_00121,退保条款,True
m_00096a,r_00122,基础产品销售信息,True
m_00046a,r_00123,责任免除,False
m_00097a,r_00124,附加条款,True
m_00016a,r_00125,投保条款,True
m_00063a,r_00126,附加条款,True
m_00098a,r_00127,出险条款,False
m_00067a,r_00128,退保条款,True
m_00099a,r_00129,投保条款,True
m_00052a,r_00130,保障相关时间,False
m_00100a,r_00131,保障责任,False
m_00101a,r_00132,保障责任,True
m_00102a,r_00133,出险条款,True
m_00103a,r_00134,基础产品销售信息,True
m_00104a,r_00135,续保条款,True
m_00105a,r_00136,投保条款,True
m_00065a,r_00137,投保条款,True
m_00090a,r_00138,术语解释,True
m_00106a,r_00139,保障相关时间,True
m_00107a,r_00140,赔付 & 领取规则,False
m_00108a,r_00141,续保条款,True
m_00083a,r_00142,保障相关时间,True
m_00109a,r_00143,出险条款,True
m_00110a,r_00144,退保条款,True
m_00030a,r_00145,赔付 & 领取规则,True
m_00111a,r_00146,退保条款,True
m_00082a,r_00147,责任免除,True
m_00004a,r_00148,责任免除,False
m_00112a,r_00149,投保条款,True
m_00113a,r_00150,保障相关时间,False
m_00114a,r_00151,投保条款,True
m_00115a,r_00152,出险条款,True
m_00068a,r_00153,投保条款,True
m_00086a,r_00154,退保条款,True
m_00116a,r_00155,退保条款,True
m_00114a,r_00156,赔付 & 领取规则,True
m_00051a,r_00157,保障责任,False
m_00117a,r_00158,赔付 & 领取规则,False
m_00118a,r_00159,投保条款,True
m_00119a,r_00160,责任免除,True
m_00025a,r_00161,术语解释,True
m_00046a,r_00162,基础产品销售信息,False
m_00102a,r_00163,退保条款,True
m_00120a,r_00164,保障相关时间,True
m_00098a,r_00165,责任免除,False
m_00008a,r_00166,赔付 & 领取规则,True
m_00121a,r_00167,退保条款,True
m_00026a,r_00168,术语解释,True
m_00122a,r_00169,保障责任,True
m_00072a,r_00170,出险条款,True
m_00123a,r_00171,术语解释,True
m_00089a,r_00172,赔付 & 领取规则,False
m_00052a,r_00173,责任免除,False
m_00005a,r_00174,基础产品销售信息,True
m_00124a,r_00175,责任免除,True
m_00125a,r_00176,投保条款,True
m_00126a,r_00177,保障责任,True
m_00127a,r_00178,赔付 & 领取规则,True
m_00128a,r_00179,基础产品销售信息,False
m_00129a,r_00180,保障相关时间,True
m_00032a,r_00181,保障责任,False
m_00004a,r_00182,退保条款,True
m_00130a,r_00183,赔付 & 领取规则,True
m_00041a,r_00184,责任免除,True
m_00088a,r_00185,保障责任,True
m_00131a,r_00186,出险条款,True
m_00132a,r_00187,保障责任,True
m_00129a,r_00188,术语解释,True
m_00116a,r_00189,责任免除,False
m_00133a,r_00190,责任免除,True
m_00134a,r_00191,基础产品销售信息,True
m_00016a,r_00192,基础产品销售信息,True
m_00135a,r_00193,附加条款,True
m_00136a,r_00194,附加条款,True
m_00137a,r_00195,附加条款,True
m_00138a,r_00196,基础产品销售信息,True
m_00120a,r_00197,附加条款,True
m_00139a,r_00198,基础产品销售信息,True
m_00061a,r_00199,责任免除,False
m_00066a,r_00200,赔付 & 领取规则,True
